state,total_loans,undisbursed_loans
IL,11080,1713
GA,8865,1217
CA,8837,1200
TX,7479,1022
FL,6522,745
NY,3854,594
OH,3363,456
MI,2870,429
LA,2862,454
TN,2448,385
