year,early,election_day,mail,total,total_votes,early_pct,election_day_pct,mail_pct
2018,659669,1482029,162814,2304512,2304512,28.62510587924906,64.3098842618307,7.065009858920241
2020,983985,437126,1502986,3037030,2924097,33.65090145778338,14.949093686016571,51.400004856200056
2022,378551,1037176,338748,1754475,1754475,21.57631200216589,59.116031861383036,19.307656136451076
